occupation_code	occupation_text	display_level	selectable	sort_sequence
419011	Demonstrators and product promoters	4	T	751	
419012	Models	4	T	752	
41901X	Models, demonstrators, and product promoters	3	T	750	
419021	Real estate brokers	4	T	754	
419022	Real estate sales agents	4	T	755	
41902X	Real estate brokers and sales agents	3	T	753	
419041	Telemarketers	4	T	759	
41904X	Telemarketers	3	T	758	
419091	Door-to-door sales workers, news and street vendors, and related workers	4	T	761	
41909X	Miscellaneous sales and related workers	3	T	760	
419XXX	Other sales and related workers	2	T	749	
41XXXX	Sales and related occupations	1	T	721	
431011	First-line supervisors of office and administrative support workers	4	T	765	
43101X	First-line supervisors of office and administrative support workers	3	T	764	
431XXX	Supervisors of office and administrative support workers	2	T	763	
433011	Bill and account collectors	4	T	774	
43301X	Bill and account collectors	3	T	773	
433031	Bookkeeping, accounting, and auditing clerks	4	T	778	
43303X	Bookkeeping, accounting, and auditing clerks	3	T	777	
433061	Procurement clerks	4	T	784	
43306X	Procurement clerks	3	T	783	
433071	Tellers	4	T	786	
43307X	Tellers	3	T	785	
43309X	Miscellaneous financial clerks	3	T	787	
433XXX	Financial clerks	2	T	772	
434051	Customer service representatives	4	T	798	
43405X	Customer service representatives	3	T	797	
434061	Eligibility interviewers, government programs	4	T	800	
43406X	Eligibility interviewers, government programs	3	T	799	
434071	File clerks	4	T	802	
43407X	File clerks	3	T	801	
434081	Hotel, motel, and resort desk clerks	4	T	804	
43408X	Hotel, motel, and resort desk clerks	3	T	803	
434111	Interviewers, except eligibility and loan	4	T	806	
43411X	Interviewers, except eligibility and loan	3	T	805	
434121	Library assistants, clerical	4	T	808	
43412X	Library assistants, clerical	3	T	807	
434171	Receptionists and information clerks	4	T	818	
43417X	Receptionists and information clerks	3	T	817	
434XXX	Information and record clerks	2	T	788	
435011	Cargo and freight agents	4	T	824	
43501X	Cargo and freight agents	3	T	823	
435021	Couriers and messengers	4	T	826	
43502X	Couriers and messengers	3	T	825	
435032	Dispatchers, except police, fire, and ambulance	4	T	829	
43503X	Dispatchers	3	T	827	
435052	Postal service mail carriers	4	T	834	
43505X	Postal service workers	3	T	832	
435071	Shipping, receiving, and traffic clerks	4	T	839	
43507X	Shipping, receiving, and traffic clerks	3	T	838	
435081	Stock clerks and order fillers	4	T	841	
43508X	Stock clerks and order fillers	3	T	840	
435111	Weighers, measurers, checkers, and samplers, recordkeeping	4	T	843	
43511X	Weighers, measurers, checkers, and samplers, recordkeeping	3	T	842	
435XXX	Material recording, scheduling, dispatching, and distributing workers	2	T	822	
436011	Executive secretaries and administrative assistants	4	T	846	
436013	Medical secretaries	4	T	848	
436014	Secretaries and administrative assistants, except legal, medical, and executive	4	T	849	
43601X	Secretaries and administrative assistants	3	T	845	
436XXX	Secretaries and administrative assistants	2	T	844	
439041	Insurance claims and policy processing clerks	4	T	859	
43904X	Insurance claims and policy processing clerks	3	T	858	
439061	Office clerks, general	4	T	863	
43906X	Office clerks, general	3	T	862	
43919X	Miscellaneous office and administrative support workers	3	T	870	
439XXX	Other office and administrative support workers	2	T	850	
43XXXX	Office and administrative support occupations	1	T	762	
451011	First-line supervisors of farming, fishing, and forestry workers	4	T	874	
45101X	First-line supervisors of farming, fishing, and forestry workers	3	T	873	
451XXX	Supervisors of farming, fishing, and forestry workers	2	T	872	
452011	Agricultural inspectors	4	T	877	
45201X	Agricultural inspectors	3	T	876	
452021	Animal breeders	4	T	879	
45202X	Animal breeders	3	T	878	
452041	Graders and sorters, agricultural products	4	T	881	
45204X	Graders and sorters, agricultural products	3	T	880	
452091	Agricultural equipment operators	4	T	883	
452092	Farmworkers and laborers, crop, nursery, and greenhouse	4	T	884	
452093	Farmworkers, farm, ranch, and aquacultural animals	4	T	885	
45209X	Miscellaneous agricultural workers	3	T	882	
452XXX	Agricultural workers	2	T	875	
453011	Fishers and related fishing workers	4	T	888	
