occupation_code	occupation_text	display_level	selectable	sort_sequence
454022	Logging Equipment Operators	4	T	922	
454029	Logging Workers, All Other	4	T	924	
45402X	Logging Workers	3	T	920	
454XXX	Forest, Conservation, and Logging Workers	2	T	917	
45XXXX	Farming, Fishing, and Forestry Occupations	1	T	895	
471011	First-Line Supervisors/Managers of Construction Trades and Extraction Workers	4	T	928	
47101X	First-Line Supervisors/Managers of Construction Trades and Extraction Workers	3	T	927	
471XXX	Supervisors, Construction and Extraction Workers	2	T	926	
472011	Boilermakers	4	T	931	
47201X	Boilermakers	3	T	930	
472021	Brickmasons and Blockmasons	4	T	933	
472022	Stonemasons	4	T	934	
47202X	Brickmasons, Blockmasons, and Stonemasons	3	T	932	
472031	Carpenters	4	T	936	
47203X	Carpenters	3	T	935	
472041	Carpet Installers	4	T	938	
472044	Tile and Marble Setters	4	T	941	
47204X	Carpet, Floor, and Tile Installers and Finishers	3	T	937	
472051	Cement Masons and Concrete Finishers	4	T	943	
47205X	Cement Masons, Concrete Finishers, and Terrazzo Workers	3	T	942	
472061	Construction Laborers	4	T	946	
47206X	Construction Laborers	3	T	945	
472071	Paving, Surfacing, and Tamping Equipment Operators	4	T	948	
472073	Operating Engineers and Other Construction Equipment Operators	4	T	950	
47207X	Construction Equipment Operators	3	T	947	
472081	Drywall and Ceiling Tile Installers	4	T	952	
47208X	Drywall Installers, Ceiling Tile Installers, and Tapers	3	T	951	
472111	Electricians	4	T	955	
47211X	Electricians	3	T	954	
472121	Glaziers	4	T	957	
47212X	Glaziers	3	T	956	
472131	Insulation Workers, Floor, Ceiling, and Wall	4	T	959	
47213X	Insulation Workers	3	T	958	
472141	Painters, Construction and Maintenance	4	T	962	
47214X	Painters and Paperhangers	3	T	961	
472151	Pipelayers	4	T	965	
472152	Plumbers, Pipefitters, and Steamfitters	4	T	966	
47215X	Pipelayers, Plumbers, Pipefitters, and Steamfitters	3	T	964	
472161	Plasterers and Stucco Masons	4	T	968	
47216X	Plasterers and Stucco Masons	3	T	967	
472171	Reinforcing Iron and Rebar Workers	4	T	970	
47217X	Reinforcing Iron and Rebar Workers	3	T	969	
472181	Roofers	4	T	972	
47218X	Roofers	3	T	971	
472211	Sheet Metal Workers	4	T	974	
47221X	Sheet Metal Workers	3	T	973	
472221	Structural Iron and Steel Workers	4	T	976	
47222X	Structural Iron and Steel Workers	3	T	975	
472XXX	Construction Trades Workers	2	T	929	
473011	Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters	4	T	979	
473012	Helpers--Carpenters	4	T	980	
473013	Helpers--Electricians	4	T	981	
