industry_code	industry_text	display_level	selectable	sort_sequence
33272X	Turned product and screw, nut, and bolt manufacturing	6	T	653	
3327XX	Machine shops; turned product; and screw, nut, and bolt manufacturing	5	T	651	
332811	Metal heat treating	7	T	658	
332812	Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers	7	T	659	
332813	Electroplating, plating, polishing, anodizing, and coloring	7	T	660	
33281X	Coating, engraving, heat treating, and allied activities	6	T	657	
3328XX	Coating, engraving, heat treating, and allied activities	5	T	656	
332911	Industrial valve manufacturing	7	T	663	
33291X	Metal valve manufacturing	6	T	662	
332991	Ball and roller bearing manufacturing	7	T	667	
332992	Small arms ammunition manufacturing	7	T	668	
332996	Fabricated pipe and pipe fitting manufacturing	7	T	672	
33299X	All other fabricated metal product manufacturing	6	T	666	
3329XX	Other fabricated metal product manufacturing	5	T	661	
332XXX	Fabricated metal product manufacturing	4	T	613	
333111	Farm machinery and equipment manufacturing	7	T	678	
33311X	Agricultural implement manufacturing	6	T	677	
33312X	Construction machinery manufacturing	6	T	680	
333131	Mining machinery and equipment manufacturing	7	T	682	
333132	Oil and gas field machinery and equipment manufacturing	7	T	683	
33313X	Mining and oil and gas field machinery manufacturing	6	T	681	
3331XX	Agriculture, construction, and mining machinery manufacturing	5	T	676	
333241	Food product machinery manufacturing	7	T	688	
333244	Printing machinery and equipment manufacturing	7	T	691	
33324X	Industrial machinery manufacturing	6	T	687	
33329X	Other industrial machinery manufacturing	6	T	692	
3332XX	Industrial machinery manufacturing	5	T	684	
33331X	Commercial and service industry machinery manufacturing	6	T	699	
3333XX	Commercial and service industry machinery manufacturing	5	T	698	
333415	Air-conditioning and warm air heating eqp. and commercial and industrial refrigeration eqp. mfg.	7	T	712	
33341X	Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing	6	T	707	
3334XX	Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing	5	T	706	
333514	Special die and tool, die set, jig, and fixture manufacturing	7	T	718	
333515	Cutting tool and machine tool accessory manufacturing	7	T	719	
333516	Rolling mill machinery and equipment manufacturing	7	T	720	
33351X	Metalworking machinery manufacturing	6	T	714	
3335XX	Metalworking machinery manufacturing	5	T	713	
33361X	Engine, turbine, and power transmission equipment manufacturing	6	T	723	
3336XX	Engine, turbine, and power transmission equipment manufacturing	5	T	722	
333924	Industrial truck, tractor, trailer, and stacker machinery manufacturing	7	T	736	
33392X	Material handling equipment manufacturing	6	T	732	
333994	Industrial process furnace and oven manufacturing	7	T	741	
333995	Fluid power cylinder and actuator manufacturing	7	T	742	
33399X	All other general purpose machinery manufacturing	6	T	737	
3339XX	Other general purpose machinery manufacturing	5	T	727	
333XXX	Machinery manufacturing	4	T	675	
334111	Electronic computer manufacturing	7	T	748	
33411X	Computer and peripheral equipment manufacturing	6	T	747	
3341XX	Computer and peripheral equipment manufacturing	5	T	746	
33422X	Radio and television broadcasting and wireless communications equipment manufacturing	6	T	753	
3342XX	Communications equipment manufacturing	5	T	751	
334413	Semiconductor and related device manufacturing	7	T	761	
334416	Capacitor, resistor, coil, transformer, and other inductor manufacturing	7	T	764	
33441X	Semiconductor and other electronic component manufacturing	6	T	758	
3344XX	Semiconductor and other electronic component manufacturing	5	T	757	
334511	Search, detection, navigation, guidance, aeronautical, and nautical system and instrument mfg.	7	T	769	
334515	Instrument manufacturing for measuring and testing electricity and electrical signals	7	T	773	
334516	Analytical laboratory instrument manufacturing	7	T	774	
33451X	Navigational, measuring, electromedical, and control instruments manufacturing	6	T	768	
3345XX	Navigational, measuring, electromedical, and control instruments manufacturing	5	T	767	
334XXX	Computer and electronic product manufacturing	4	T	745	
335121	Residential electric lighting fixture manufacturing	7	T	787	
335122	Commercial, industrial, and institutional electric lighting fixture manufacturing	7	T	788	
33512X	Lighting fixture manufacturing	6	T	786	
3351XX	Electric lighting equipment manufacturing	5	T	784	
335211	Electric housewares and household fan manufacturing	7	T	791	
33521X	Small electrical appliance manufacturing	6	T	790	
335221	Household cooking appliance manufacturing	7	T	794	
33522X	Major appliance manufacturing	6	T	793	
3352XX	Household appliance manufacturing	5	T	789	
335311	Power, distribution, and specialty transformer manufacturing	7	T	799	
335313	Switchgear and switchboard apparatus manufacturing	7	T	801	
33531X	Electrical equipment manufacturing	6	T	798	
3353XX	Electrical equipment manufacturing	5	T	797	
335911	Storage battery manufacturing	7	T	805	
335912	Primary battery manufacturing	7	T	806	
33591X	Battery manufacturing	6	T	804	
33592X	Communication and energy wire and cable manufacturing	6	T	807	
335991	Carbon and graphite product manufacturing	7	T	813	
33599X	All other electrical equipment and component manufacturing	6	T	812	
3359XX	Other electrical equipment and component manufacturing	5	T	803	
335XXX	Electrical equipment, appliance, and component manufacturing	4	T	783	
336111	Automobile manufacturing	7	T	817	
336112	Light truck and utility vehicle manufacturing	7	T	818	
33611X	Automobile and light duty motor vehicle manufacturing	6	T	816	
3361XX	Motor vehicle manufacturing	5	T	815	
336211	Motor vehicle body manufacturing	7	T	822	
336212	Truck trailer manufacturing	7	T	823	
33621X	Motor vehicle body and trailer manufacturing	6	T	821	
3362XX	Motor vehicle body and trailer manufacturing	5	T	820	
33631X	Motor vehicle gasoline engine and engine parts manufacturing	6	T	827	
336322	Other motor vehicle electrical and electronic equipment manufacturing	7	T	832	
33632X	Motor vehicle electrical and electronic equipment manufacturing	6	T	830	
33633X	Motor vehicle steering and suspension components (except spring) manufacturing	6	T	833	
33635X	Motor vehicle transmission and power train parts manufacturing	6	T	835	
33636X	Motor vehicle seating and interior trim manufacturing	6	T	836	
33637X	Motor vehicle metal stamping	6	T	837	
33639X	Other motor vehicle parts manufacturing	6	T	838	
3363XX	Motor vehicle parts manufacturing	5	T	826	
336411	Aircraft manufacturing	7	T	842	
336412	Aircraft engine and engine parts manufacturing	7	T	843	
336413	Other aircraft parts and auxiliary equipment manufacturing	7	T	844	
33641X	Aerospace product and parts manufacturing	6	T	841	
3364XX	Aerospace product and parts manufacturing	5	T	840	
33651X	Railroad rolling stock manufacturing	6	T	848	
3365XX	Railroad rolling stock manufacturing	5	T	847	
