industry_code	industry_text	display_level	selectable	sort_sequence
33149X	Nonferrous metal except cu and al shaping	6	T	631	
3314XX	Other nonferrous metal production	5	T	623	
331511	Iron foundries	7	T	636	
331512	Steel investment foundries	7	T	637	
331513	Steel foundries except investment	7	T	638	
33151X	Ferrous metal foundries	6	T	635	
331521	Aluminum Die-Casting Foundries(discontinued in 2014)	1	T	640	
331522	Nonferrous (except Aluminum) Die-Casting Foundries(discontinued in 2014)	1	T	641	
331523	Nonferrous metal die-casting foundries	7	T	642	
331524	Aluminum foundries except die-casting	7	T	643	
331525	Copper Foundries (except Die-Casting)(discontinued in 2014)	1	T	644	
331528	Other Nonferrous Foundries (except Die-Casting)(discontinued in 2014)	1	T	645	
331529	Other nonferrous foundries exc. die-casting	7	T	646	
33152X	Nonferrous metal foundries	6	T	639	
3315XX	Foundries	5	T	634	
331XXX	Primary metal manufacturing	4	T	603	
332111	Iron and steel forging	7	T	650	
332112	Nonferrous forging	7	T	651	
332114	Custom roll forming	7	T	652	
332115	Crown and Closure Mfg(discontinued in 2014)	1	T	653	
332116	Metal Stamping(discontinued in 2014)	1	T	654	
332117	Powder metallurgy part manufacturing	7	T	655	
332119	Metal crown and other stamping exc. auto	7	T	656	
33211X	Forging and stamping	6	T	649	
3321XX	Forging and stamping	5	T	648	
332211	Cutlery and Flatware (except Precious) Mfg(discontinued in 2014)	1	T	659	
332212	Hand and Edge Tool Mfg(discontinued in 2014)	1	T	660	
332213	Saw Blade and Handsaw Mfg(discontinued in 2014)	1	T	661	
332214	Kitchen Utensil Pot and Pan Mfg(discontinued in 2014)	1	T	662	
332215	Cutlery flatware and kitchen utensil mfg.	7	T	663	
332216	Saw blade and handtool manufacturing	7	T	664	
33221X	Cutlery and handtool manufacturing	6	T	658	
3322XX	Cutlery and handtool manufacturing	5	T	657	
332311	Prefabricated metal buildings and components	7	T	667	
332312	Fabricated structural metal manufacturing	7	T	668	
332313	Plate work manufacturing	7	T	669	
33231X	Plate work and fabricated structural products	6	T	666	
332321	Metal window and door manufacturing	7	T	671	
